Time(s),X,Y,Z,Yaw,Velocity,Acc,AngularRate
5.3116490840911865,343.72674560546875,-252.6216583251953,33.38032531738281,0.46962069478110957,1.475578833182253,-0.15404579325135592,3.4906585039886596e-06
5.313446044921875,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.15043805594714896,0.0006003932626860493
5.314826011657715,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.1397068212920389,-1.7453292519943298e-06
5.316145420074463,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.12945208348242904,-0.0005969026041820607
5.317410230636597,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.13517179131282803,3.4906585039886596e-06
5.318164825439453,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.1603766685631934,0.0006003932626860493
5.319029092788696,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.14920647656127706,-1.7453292519943298e-06
5.319951295852661,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.11232648549138817,-0.000598647933434055
5.320685625076294,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.11954652077739557,3.4906585039886596e-06
5.321479558944702,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.16547644007830406,0.000598647933434055
5.322189092636108,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.16411433395143965,-1.7453292519943298e-06
5.32990288734436,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.10825409527919155,-0.0011938052083641214
5.340021371841431,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.10243330111950781,0.000598647933434055
5.3500025272369385,343.75250244140625,-252.60694885253906,33.380123138427734,0.47058229567170995,1.4768317321961264,-0.16848070448882413,0.000598647933434055
5.360177516937256,216.34304809570312,-220.8074188232422,33.43499755859375,-0.3076650471722802,1.4768291562829148,-0.15947513025587035,-0.0
5.369838237762451,216.34304809570312,-220.8074188232422,33.43499755859375,-0.3076650471722802,1.4768291562829148,-0.07966948429559309,-0.0011920598791121271
5.380382776260376,216.34304809570312,-220.8074188232422,33.43499755859375,-0.3076650471722802,1.4768291562829148,-0.08030179894403455,3.4906585039886596e-06
5.390067100524902,216.3416290283203,-220.8145294189453,33.11369705200195,-0.3074749973389894,1.252782231248697,-0.17003776427565148,0.0011938052083641214
5.400099039077759,216.3416290283203,-220.8145294189453,33.11369705200195,-0.3074749973389894,1.252782231248697,-0.17611540376106366,0.0
5.410380840301514,216.3416290283203,-220.8145294189453,33.11369705200195,-0.3074749973389894,1.252782231248697,-0.07609840640170033,-0.0011938052083641214
5.420356512069702,216.34011840820312,-220.8209686279297,33.113651275634766,-0.3075580546754863,1.1458923550643973,-0.07065669106403283,3.4906585039886596e-06
5.430539131164551,216.34011840820312,-220.8209686279297,33.113651275634766,-0.3075580546754863,1.1458923550643973,-0.1545347272365067,0.0011938052083641214
5.4400458335876465,216.33924865722656,-220.82423400878906,33.113616943359375,-0.30766827625510196,1.1105562418001511,-0.18358351553894972,0.0005969026041820607
5.450384855270386,216.33924865722656,-220.82423400878906,33.113616943359375,-0.30766827625510196,1.1105562418001511,-0.0861509592693277,-0.0011920598791121271
5.460315942764282,216.33924865722656,-220.82423400878906,33.113616943359375,-0.30766827625510196,1.1105562418001511,-0.07188779486075964,1.7453292519943298e-06
5.469897508621216,216.33888244628906,-220.82589721679688,33.11357879638672,-0.30775715925648334,1.0972032037370092,-0.1497041793802777,0.000598647933434055
5.480170965194702,216.33888244628906,-220.82589721679688,33.11357879638672,-0.30775715925648334,1.0972032037370092,-0.19735413646306377,0.0005969026041820607
5.490097522735596,216.33888244628906,-220.82589721679688,33.11357879638672,-0.30775715925648334,1.0972032037370092,-0.10890600725939258,-1.7453292519943298e-06
5.500703811645508,216.33872985839844,-220.82672119140625,33.11354446411133,-0.30781578208997873,1.0918153831466635,-0.06857356229259537,-0.0005951572749300664
5.510226488113403,216.33872985839844,-220.82672119140625,33.11354446411133,-0.30781578208997873,1.0918153831466635,-0.1416816324521721,0.000598647933434055
5.519928693771362,216.33872985839844,-220.82672119140625,33.11354446411133,-0.30781578208997873,1.0918153831466635,-0.19609466650072746,0.0005969026041820607
5.530414342880249,216.338623046875,-220.8271026611328,33.1135139465332,-0.30784937120922734,1.0893116424278912,-0.13421713017358927,-0.0005969026041820607
5.540053367614746,216.338623046875,-220.8271026611328,33.1135139465332,-0.30784937120922734,1.0893116424278912,-0.07142722704121832,-0.0005951572749300664
5.550635099411011,216.338623046875,-220.8271026611328,33.1135139465332,-0.30784937120922734,1.0893116424278912,-0.12407947880913353,3.4906585039886596e-06
5.560661792755127,216.3394317626953,-220.82730102539062,33.11347961425781,-0.30786847939004863,1.0879012835061233,-0.18600136913433757,0.0005969026041820607
5.570101261138916,216.3394317626953,-220.82730102539062,33.11347961425781,-0.30786847939004863,1.0879012835061233,-0.1620719496787648,-0.0
5.580267906188965,216.33941650390625,-220.82737731933594,33.11344528198242,-0.3078780667699729,1.086976996502448,-0.07844714933271614,-0.000598647933434055
5.590220212936401,216.33941650390625,-220.82737731933594,33.11344528198242,-0.3078780667699729,1.086976996502448,-0.12444256979869342,3.4906585039886596e-06
5.601017475128174,216.33941650390625,-220.82737731933594,33.11344528198242,-0.3078780667699729,1.086976996502448,-0.1902898601735001,0.0011938052083641214
5.61012077331543,216.33944702148438,-220.8274383544922,33.11341094970703,-0.30788345967118036,1.0862415681730817,-0.1730863826842374,-1.7453292519943298e-06
5.619948625564575,216.33944702148438,-220.8274383544922,33.11341094970703,-0.30788345967118036,1.0862415681730817,-0.06839820596439201,-0.0011938052083641214
5.62996244430542,216.33944702148438,-220.8274383544922,33.11341094970703,-0.30788345967118036,1.0862415681730817,-0.09763111942888822,1.7453292519943298e-06
5.640668869018555,216.3394317626953,-220.8263397216797,33.113380432128906,-0.3078860229637295,1.0856009997628424,-0.16738782202084135,0.0011955505376161158
5.650185585021973,216.3394317626953,-220.8263397216797,33.113380432128906,-0.3078860229637295,1.0856009997628424,-0.16233240450379655,-0.0
5.661110162734985,216.3394317626953,-220.8263397216797,33.113380432128906,-0.3078860229637295,1.0856009997628424,-0.06655954418552996,-0.000598647933434055
5.6701600551605225,216.33944702148438,-220.8263397216797,33.11334991455078,-0.3078866221749748,1.085013419744327,-0.09407241986814859,1.7453292519943298e-06
5.680112838745117,216.33944702148438,-220.8263397216797,33.11334991455078,-0.3078866221749748,1.085013419744327,-0.17750587605353751,0.000598647933434055
5.690267324447632,216.33944702148438,-220.8263397216797,33.11334991455078,-0.3078866221749748,1.085013419744327,-0.16777051034216078,0.0
5.700194597244263,216.33944702148438,-220.82635498046875,33.11331558227539,-0.30788768743941086,1.0844695144946606,-0.06658791035113942,-0.000598647933434055
5.710123777389526,216.33944702148438,-220.82635498046875,33.11331558227539,-0.30788768743941086,1.0844695144946606,-0.06446042758163617,1.7453292519943298e-06
5.720096111297607,216.33944702148438,-220.82635498046875,33.11331558227539,-0.30788768743941086,1.0844695144946606,-0.15783658147151788,0.0006021385919380437
5.730240821838379,216.33946228027344,-220.82638549804688,33.113285064697266,-0.30788772072892445,1.0839121821564675,-0.17838987669316084,0.0
5.74013352394104,216.33946228027344,-220.82638549804688,33.113285064697266,-0.30788772072892445,1.0839121821564675,-0.09004438365401773,-0.000598647933434055
5.750244379043579,216.33946228027344,-220.82638549804688,33.113285064697266,-0.30788772072892445,1.0839121821564675,-0.08838984703720892,1.7453292519943298e-06
5.760177373886108,216.33949279785156,-220.82635498046875,33.11325454711914,-0.30788772072892445,1.0833644199805619,-0.16604686306097993,0.0006003932626860493
5.770112991333008,216.33949279785156,-220.82635498046875,33.11325454711914,-0.30788772072892445,1.0833644199805619,-0.17452120897477702,0.0005969026041820607
5.780217409133911,216.33949279785156,-220.82635498046875,33.11325454711914,-0.30788772072892445,1.0833644199805619,-0.07669358605068245,-0.000598647933434055
5.7903101444244385,216.33946228027344,-220.82638549804688,33.113224029541016,-0.3078871548071928,1.0828269766074055,-0.07751363536048037,-0.0005951572749300664
