Time(s),X,Y,Z,Yaw,Velocity
5.3116490840911865,314.9949645996094,-253.5072021484375,33.38947296142578,-0.26513288318035844,0.008322024741243514
5.313446044921875,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.314826011657715,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.316145420074463,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.317410230636597,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.318164825439453,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.319029092788696,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.319951295852661,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.320685625076294,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.321479558944702,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.322189092636108,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.32990288734436,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.340021371841431,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.3500025272369385,314.9947509765625,-253.50714111328125,33.389461517333984,-0.2651392914117314,0.008323969053874045
5.360177516937256,345.29351806640625,-255.6388397216797,33.389163970947266,0.4709844662858255,0.05187128431980235
5.369838237762451,345.29351806640625,-255.6388397216797,33.389163970947266,0.4709844662858255,0.05187128431980235
5.380382776260376,345.29351806640625,-255.6388397216797,33.389163970947266,0.4709844662858255,0.05187128431980235
5.390067100524902,215.31271362304688,-224.048828125,33.439292907714844,-0.30716117709403723,0.05187128181454367
5.400099039077759,215.31271362304688,-224.048828125,33.439292907714844,-0.30716117709403723,0.05187128181454367
5.410380840301514,215.31271362304688,-224.048828125,33.439292907714844,-0.30716117709403723,0.05187128181454367
5.420356512069702,215.31253051757812,-224.05471801757812,33.134666442871094,-0.30739290539838776,0.082157803543514
